Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:BULL	1	22.38			Buy 669 at $14.92 ~= $9,981	0	0
NYSE:HIMS	1	66.73				48.3309284998225	49.25467833433004
NYSE:SCHW	1	146.10	2025-08-08	0.26		343.75475497685466	356.7855586387251
NASDAQ:IBKR	1	94.22	2025-08-29	0.067		732.2361631550823	735.9293514050117
NASDAQ:TIGR	1	19.66			ADR	27.98406583723788	28.54585669087688
NYSE:BTI	1	85.38	2025-10-03	0.6005	ADR	0	0
NYSE:TDOC	1	11.87				21.122339802160678	41.20078716176745
NYSE:IBM	1	368.19	2025-08-08	1.6725		214.9677365896906	276.0358454671437
NYSE:CPRI	1	32.56				57.15459267776287	-11.879301360641758
NASDAQ:FUTU	1	287.40			ADR	66.0219665799052	69.69043870923721
NASDAQ:TOI	1	5.28				1.3866480220868629	2.3172622451808795
NYSE:WT	1	20.58	2025-08-13	0.03		28.448186570278807	28.886050400946928
NYSE:TT	1	639.93	2025-09-05	0.89		613.001890507452	671.7497416463368
NYSE:PBA	1	56.85	2025-09-15	0.6945	GTC: delete	68.13838833087814	90.51683573695091
NASDAQ:SEIC	1	133.66	2025-06-09	0.245		144.83627538522904	155.35693456529035
NASDAQ:NAVI	1	20.61	2025-09-05	0.16		-392.09771593992514	-389.1967445355254
NASDAQ:MKTX	1	276.51	2025-08-20	0.75		276.6937649630607	299.1405430527391
NYSE:NMR	1	10.80			ADR	-57.160130643804365	-54.49065592802676
NYSE:DOV	1	272.36	2025-08-29	0.515		230.02022741413913	278.2985074537398
NASDAQ:BOOM	1	10.14				37.27905170354479	66.92429417594407
