ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:SEM,11.65,40.98,12.13,12.92,11166177.39
NYSE:BTI,34.17,59.29,55.79,56.26,236084963.03
NYSE:HUYA,2.21,6.43,3.37,3.52,5767948.72
NYSE:NGG,55.82,74.82,70.88,70.36,38491597.32
NYSE:AIV,6.89,9.415,7.85,7.69,12345807.87
NYSE:UDR,36.61,47.55,37.31,38.98,104408727.34
NYSE:EQNR,21.405,28.265,24.71,24.23,87372170.85
NYSE:JHX,17.91,43.57,19.6,19.46,114932065.43
NYSE:EDN,16.43,51.69,17.21,17.61,3295644.18
NYSE:TTE,52.09,71.74,62.35,61.11,72598.72
NYSE:UBS,25.745,41.7,41.32,40.01,62976328.02
NYSE:SMFG,11.83,17.46,16.6,16.58,31495213.82
NYSE:FTS,40.32,51.45,48.98,48.98,23633729.22
NYSE:PBR,11.0329,15.34,12.94,12.33,256234525.84
NYSE:BP,25.2249,35.545,34.43,34.09,227961582.89
NYSE:SGHC,3.44,13.49,13.09,13.15,54048955.01
NYSE:HBM,5.95,13.955,13.66,13.01,68506413.74
NASDAQ:ERIC,6.64,8.995,7.96,8.02,88394450.70
NASDAQ:GAMB,7.93,17.14,8.02,8.13,5104805.78
NYSE:CPA,82.54,121.625,116.21,114.11,30694920.77
