Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:HUYA	0.9690935611724854	3.84	2025-07-01	0	ADR	1.3806826199127695	1.3806826199127695
NYSE:SEM	0.9599976539611816	14.30	2025-08-13	0.07825	Buy 300 at $13.32 ~= $3,996	-0.9509197717151527	11.878479415694004
NYSE:RELX	0.8874413967132568	50.16	2025-08-08	0.16075	ADR	0	0
NYSE:BTI	0.8480667471885681	59.38	2025-10-03	0.6005	ADR	0	0
NASDAQ:MRX	0.8422687649726868	37.45	2025-08-26	0.1075		0	0
NYSE:ALIT	0.8156307935714722	3.93	2025-09-02	0.03		3.0835835041778705	13.521102115209798
NYSE:CNI	0.8070665597915649	100.06	2025-09-08	0.86625		97.89554161939064	121.40089066735233
NYSE:UL	0.7811170220375061	66.10	2025-08-15	0.458	ADR	0	0
NYSE:VTEX	0.7734143137931824	4.33				6.627071719178815	7.1069899983991265
NYSE:EQNR	0.7644398212432861	25.62	2025-11-14	0.365	ADR	68.27859999654054	29.983514721441157
NYSE:AIV	0.7608308792114258	8.10				40.21012336463051	20.890075814816885
NYSE:NWG	0.759609580039978	14.94	2025-08-08	0.0625	ADR	-47.813262839788536	-47.43561297059481
NYSE:UDR	0.7568989992141724	40.79	2025-07-10	0.4275		40.055528195061555	61.42620894419206
NYSE:WPP	0.7515206336975098	28.71	2025-10-10	0.07975	ADR	0	0
NASDAQ:TRI	0.750292181968689	184.10	2025-08-19	0.5675		259.82082013139245	297.2514883196276
NYSE:ETR	0.7488721013069153	91.33	2025-08-13	0.595		-15.420737844309045	37.40012028924631
NASDAQ:LX	0.7484588623046875	6.46	2025-08-26	0.54875	ADR	-3.299085867335839	-3.299085867335839
NYSE:WCN	0.7365039587020874	186.36	2025-08-06	0.3075		184.57910397576515	232.5254178941829
NYSE:WU	0.7351313829421997	9.16	2025-09-16	0.235		6.9827851720236955	11.29234092105226
NYSE:CVE	0.7243295907974243	17.41	2025-09-15	0.185		26.771296414861137	50.013324348904675
