ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:ALTS,1.551,10.9487,3.87,6.85,108613133.33
NASDAQ:IBKR,49.3,236.53,64.28,61.79,958935114.98
NYSE:BTI,34.17,59.29,55.43,56.77,277447026.28
NYSE:PM,116.12,186.69,161.15,164.19,967032469.19
NASDAQ:TIGR,3.39,14.48,12.72,11.57,105584386.62
NYSE:RLX,1.57,2.69,2.56,2.4,11720474.64
NYSE:TDOC,6.35,15.21,7.63,7.74,34940637.87
NYSE:TPR,40.075,114.05,105.82,100.98,442099496.68
NASDAQ:MAT,13.945,22.065,18.65,18.53,47495026.63
NYSE:CPRI,11.86,43.34,21.76,21.55,47894282.96
NASDAQ:FUTU,56.22,197.35,189.12,183.93,425498607.53
NASDAQ:TOI,0.1253,4.5,3.26,3.46,4457763.20
NYSE:TT,298.15,476.185,413.15,424.19,528634798.91
NYSE:PBA,34.13,43.44,37.79,37.67,63718892.30
NYSE:RJF,113.91,174.32,171.09,167.95,128342138.06
NASDAQ:EEFT,85.24,114.25,90.87,93.91,71785968.50
NYSE:WAB,151.81,216.1,193.78,195.32,168669672.91
NASDAQ:SWIN,1.16,5.09,2.68,3.92,6370676.81
NASDAQ:VIRT,29.82,45.7699,40.43,42.73,36970281.38
NASDAQ:SEIC,64.6622,93.96,89.22,90.52,51368227.40
