Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:SEM	1	18.96	2025-08-13	0.07825	Buy 55 at $12.64 ~= $695	-1.421050161148737	11.262546802702058
NASDAQ:WSFS	0.9806122779846191	60.27	2025-08-08	0.155		-194.1737619252055	-182.11775782476022
NYSE:FCF	0.9352838397026062	18.65	2025-08-08	0.1325		-71.75530247023315	-71.32541476972534
NASDAQ:SBSI	0.9167622327804565	31.04	2025-08-21	0.36		-205.7512040265873	-207.6343338707514
NASDAQ:PFIS	0.9145464301109314	53.49	2025-08-29	0.6175		-372.2233941905859	-362.39630529589016
NASDAQ:AMAL	0.9117633104324341	29.49	2025-08-05	0.135		-166.12215822150338	-164.75036510634325
NASDAQ:FFIN	0.9110752940177917	36.45	2025-09-15	0.1825		-28.660477369401487	-27.6158736246969
NASDAQ:TBBK	0.9103318452835083	83.12				37.932948179257004	39.64487912099846
NASDAQ:SYBT	0.9032407999038696	75.92	2025-09-15	0.31		-78.99522282595086	-76.04694133067666
NASDAQ:BANF	0.9007806181907654	140.01	2025-09-30	0.46		21.91789290885617	12.812995249142885
NYSE:SFBS	0.8985015749931335	87.81	2025-10-01	0.32625		-111.58228141755967	-110.48379921340835
NASDAQ:STRA	0.8955340385437012	90.31	2025-09-05	0.6		136.46354117823122	111.51206476672901
NASDAQ:ORRF	0.8952341079711914	36.87	2025-08-05	0.245		-130.79859972772346	-118.22854268496697
NASDAQ:SFNC	0.8847187161445618	20.94	2025-09-15	0.21125		-116.95220679431092	-113.96242301254874
NASDAQ:NECB	0.8844435214996338	22.17	2025-10-03	0.175		-25.07105615247254	-23.374869347269353
NASDAQ:CCNE	0.8841745853424072	26.75	2025-08-29	0.18		-130.42807795286197	-127.85171995121149
NASDAQ:MBWM	0.88318932056427	48.82	2025-09-05	0.365		-151.6559533735264	-139.08176090675985
NASDAQ:VBTX	0.8754604458808899	35.96	2025-09-16	0.21		-144.44592952149424	-140.9399470419265
NYSE:GNTY	0.8745841979980469	52.78	2025-09-19	0.245		-167.6054800888332	-163.1440156474154
NASDAQ:UCB	0.8743806481361389	33.88	2025-09-15	0.24		-123.38858383364726	-117.12190722197647
