ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:ICON,0.04,3.35,0.779,0.8001,3457205.93
NYSE:TAK,12.8,15.69,14.46,14.3,43836769.86
NYSE:DD,33.335,85.12,39.91,38.54,209475240.74
NYSE:NMR,4.86,7.68,7.64,7.16,8441777.52
NASDAQ:ACMR,13.87,45.12,33.31,30.03,28902483.87
NYSE:IX,17.75,117.25,27.25,26.04,4221740.32
NYSE:MFG,4.04,7.185,7.16,6.61,15526623.47
NASDAQ:AMBA,38.8608,96.69,70.92,86.14,107977032.11
NASDAQ:AEHR,6.27,34.3495,22.53,20.27,14211598.27
NASDAQ:AVGO,138.1,403.0,386.08,340.2,9382474096.77
NASDAQ:NVDA,86.62,212.1899,179.92,178.88,42385906790.87
NASDAQ:UCTT,16.655,40.64,25.36,22.27,12132247.51
NASDAQ:AMAT,123.7365,255.79,254.75,224.005,1896810063.19
NASDAQ:CAMT,47.41,129.41,105.4,94.4,43653016.53
NYSE:HAFN,3.6094,6.64,5.8,6.42,7874643.81
NYSE:LMT,410.11,526.785,439.19,460.78,606097249.01
NASDAQ:NVMI,153.995,361.3199,305.81,280.42,92959653.70
NYSE:LYV,112.875,175.25,131.1,130.63,408382732.89
NYSE:HUYA,2.21,4.59,2.81,2.64,2508732.95
NYSE:PSTG,34.51,100.5899,88.55,78.38,275864951.87
