ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:IXHL,0.08,2.25,0.423,0.4566,16782549.21
NYSE:RF,17.74,27.98,27.6,26.28,288257199.19
NYSE:MPW,3.51,6.34,5.1,5.48,34647523.05
NYSE:BHP,39.73,61.27,59.64,58.85,191452090.01
NASDAQ:TEAM,139.7,325.9999,162.04,159.33,347027709.83
NYSE:EHC,87.85,127.99,107.0,112.5,110607883.66
NASDAQ:ADTN,6.93,12.44,8.31,8.53,12842351.45
NYSE:VMC,215.08,311.74,295.94,294.87,246966355.04
NASDAQ:ROAD,64.7925,138.9,110.08,103.04,48507217.27
NYSE:HCC,38.0,85.86,83.41,81.61,52130216.72
NASDAQ:LAKE,8.31,27.2799,8.99,15.33,5353350.16
NYSE:PRA,13.9,24.41,24.26,23.9,8591478.08
NYSE:WDS,11.26,17.7,16.22,16.58,9257937.54
NYSE:SFBS,66.48,94.41,74.45,72.24,20958293.69
NASDAQ:MESO,9.61,22.0,18.07,17.87,4199760.90
NASDAQ:TLX,8.76,30.36,9.03,9.85,1345065.35
NASDAQ:TBRG,17.71,32.0,22.55,23.02,2565774.91
NASDAQ:IMRN,1.0,2.483,1.02,1.51,3604031.34
NYSE:TBN,15.75,34.5,25.21,26.16,1462401.39
NYSE:HMC,23.41,34.89,30.93,29.43,34336051.18
