ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:DD,33.335,85.0,41.04,40.45,241908255.76
NASDAQ:AVGO,138.1,414.61,349.32,341.3,21960785066.71
NASDAQ:NVDA,86.62,212.1899,189.21,177.72,33331524755.27
NYSE:GTLS,104.6,220.03,205.97,205.71,146273162.71
NASDAQ:SWKS,47.93,95.4597,64.48,66.02,183463101.63
NYSE:RES,4.1,7.17,5.45,5.49,12250078.88
NASDAQ:INTC,17.665,44.02,36.35,37.31,2627069260.70
NASDAQ:RMBS,40.12,114.55,94.19,94.69,152833791.09
NASDAQ:ADI,158.65,284.225,276.73,278.4,1157835421.52
NASDAQ:POWI,30.86,68.2,37.06,36.14,64066363.02
NYSE:AAT,16.69,26.66,18.6,19.19,11107976.98
NASDAQ:FELE,78.87,108.08,99.58,97.5,32985738.00
NASDAQ:QCOM,120.8019,205.95,174.75,176.12,1646523076.42
NASDAQ:AMD,76.48,267.0799,214.9,209.17,6349001545.85
NYSE:TJX,112.1,157.825,155.92,155.09,783561896.47
NASDAQ:ALAB,47.125,262.9,168.83,144.94,786962071.52
NYSE:LMT,410.11,516.0,482.55,477.06,721302251.38
NASDAQ:AIP,5.46,19.85,16.16,15.78,11451958.13
NASDAQ:ARAY,0.81,2.95,0.856,1.02,1346809.29
NASDAQ:MXL,8.35,25.73,17.69,17.14,22261304.44
