ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:VIAV,8.87,60.43,48.56,48.98,353408638.67
NYSE:DD,33.335,83.4,48.42,47.15,192664422.53
NASDAQ:VISN,5.42,20.55,12.48,11.9,67601499.70
NASDAQ:JBIO,6.565,28.0,21.04,23.46,12438828.25
NASDAQ:TASK,5.39,18.39,6.33,6.12,3354330.24
NYSE:SITC,5.04,13.095,5.05,5.39,3694017.89
NYSE:NLOP,11.235,34.53,12.01,11.82,1309393.90
NYSE:ELME,1.98,17.68,2.05,2.02,1976307.34
NYSE:OEC,4.345,12.1,7.64,6.76,2728743.34
NASDAQ:PBYI,3.03,7.8983,7.17,7.05,1341909.03
NASDAQ:INCY,63.925,112.29,96.74,97.41,122899161.55
NYSE:HPE,17.025,44.575,43.04,33.97,892294375.46
NASDAQ:LITE,71.04,1085.68,854.96,964.5,5081529968.38
NASDAQ:LOPE,148.8036,223.04,149.85,156.8,30942740.60
NASDAQ:WDFC,175.38,253.24,199.97,206.49,29266851.29
NYSE:WMB,55.82,80.075,71.39,77.52,540855200.86
NYSE:UMC,6.56,23.69,22.18,18.35,340340930.23
NYSE:CBRE,121.83,174.27,125.04,131.04,442779880.18
NYSE:ASH,46.295,65.645,57.9,56.26,54928726.18
NASDAQ:ISTR,17.89,31.77,28.26,28.58,3778378.97
