Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NASDAQ:VISN	1	15.25	2026-04-28	0		23.9853916032162	38.000321931295666	6.2751	22.38
NASDAQ:TASK	1	9.66	2026-03-26	0		22.74794799622937	52.844176438277366	2.8010	12.00
NYSE:DD	1	70.35	2026-05-15	0.3575		65.49462354796592	47.19100619304233	-1.9006	55.87
NYSE:NLOP	1	20.04	2026-03-30	0		103.5740075202576	145.83997921006855	-9.8057	46.00
NYSE:ELME	1	3.30				-1.4596813015794954	6.161118127925673	-1.7349	18.00
NYSE:SITC	0.9916831254959106	6.18				25.692932480172107	94.77947326230618	3.3894	5.50
NASDAQ:VIAV	0.9191218018531799	47.70				45.77977670625344	51.846030110955915	-0.1802	30.93
NASDAQ:JBIO	0.7862501740455627	28.74				0	0	-2.5835	28.71
NYSE:WLK	0.7669950127601624	117.98	2026-03-03	0.5275		138.13928949565772	172.9062186668624	-11.7736	119.93
NASDAQ:PBYI	0.7660431265830994	8.08				24.74900053081641	35.15964238380688	0.6108	5.00
NASDAQ:LOPE	0.7282477617263794	176.65				453.37155676022115	479.2213466576004	7.9640	213.00
NYSE:HPE	0.7241696119308472	29.43	2026-03-24	0.13325		16.662735100952897	49.96561839302878	-0.1176	26.43
NASDAQ:ISTR	0.7118694186210632	29.61	2026-03-31	0.10875		0	0	2.0834	33.17
NASDAQ:WDFC	0.7066319584846497	234.28	2026-04-17	0.98		280.46748956629847	294.88658785809815	5.9446	249.50
NASDAQ:NBTX	0.7040547132492065	35.41			ADR	0	0	-1.4480	33.36
NASDAQ:FWRD	0.6953305006027222	23.90				-4.9787934434148475	-31.736698244904023	-3.4162	35.00
NYSE:XPRO	0.6929041147232056	18.94				22.266017252083312	46.413153523379926	0.4543	17.60
NASDAQ:LITE	0.6922011375427246	876.16				784.8608099085342	847.3615416926933	3.5238	773.35
NYSE:CBRE	0.6729950904846191	153.68				198.4165703531611	208.1563052918404	3.9469	175.67
NASDAQ:CHRW	0.6704199910163879	197.63	2026-03-06	0.6225		253.27058809244804	262.16506934663346	4.9816	190.92
