Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NASDAQ:VISN	0.8952214121818542	12.01	2026-08-28	0	GTC: delete	0	0	-0.1379	14.67
NYSE:DD	0.8204737901687622	148.01	2026-08-31	0.7575	GTC: delete	0	0	-0.6516	170.00
NYSE:AIV	0.8163080215454102	2.77	2026-06-04	0	GTC: delete	-3.444070205715621	-1.5845932238078653	3.8145	7.00
NYSE:SITC	0.7971571087837219	3.23	2026-08-03	0	GTC: delete	0	0	2.4623	3.50
NYSE:AD	0.54752117395401	37.31	2026-06-11	2.75	GTC: delete	0	0	7.8425	43.33
AMEX:SDEV	0.4414285719394684	1.33			Buy 8237 at $1.29 ~= $10,626	0.35054642438796213	0.36081738479594644	10.3248	
NYSE:NLOP	0.4213372468948364	11.97				0	0	-2.6472	46.00
NASDAQ:IEP	0.26306772232055664	6.98	2026-08-17	0.5	Withholding Tax: 10%	0	0	-0.2279	12.00
NYSE:ZIM	0.22381894290447235	29.14				0	0	0.6231	25.05
NASDAQ:TRIN	0.14498606324195862	18.84	2026-09-10	0.51		0	0	1.2530	18.50
NYSE:SAR	0.1019737496972084	19.14	2026-09-03	0.75		86.41568812728869	2964.989585412421	1.0420	21.20
NASDAQ:CCAP	0.043050795793533325	10.94	2026-08-31	0.4		0	0	0.0021	12.64
NYSE:ARR	0.03644125163555145	16.70	2026-08-17	0.72		-60.238966835370675	-59.81243035330369	3.0443	18.38
NYSE:BSM	0.025136364623904228	15.17	2026-08-06	0.305	Withholding Tax: 10%	0	0	0.8332	16.00
NASDAQ:PLTK	0.01829957403242588	2.44				0	0	-0.8592	4.90
NASDAQ:SIGA	0.01632843352854252	3.14				0	0	-0.2118	17.53
NYSE:BXMT	0.01182535570114851	14.67	2026-06-30	0.47		-56.62555582953602	-57.509072603006096	0.0916	18.86
NASDAQ:TFSL	0.006805575452744961	18.00	2026-06-10	0.2825		0	0	0.3639	19.00
NYSE:ITUB	0.0023546977899968624	7.63	2026-09-02	0.73875	ADR	0	0	1.2109	8.84
NYSE:SSTK	-0.002147546038031578	5.30	2026-06-04	0.345		18.446880956168062	12.142641033307013	-5.5792	28.85
NYSE:PMT	-0.005013337358832359	9.37	2026-07-09	0.4		0	0	1.9068	11.46
NYSE:DHT	-0.013078480958938599	20.01	2026-08-17	0.6125		0	0	1.7080	20.52
NASDAQ:OXSQ	-0.014914020895957947	1.41	2026-09-16	0.105		0	0	-0.3762	1.75
NYSE:CAPL	-0.017371831461787224	24.05	2026-08-03	0.525	Withholding Tax: 10%	0	0	0.8309	20.00
NYSE:NLY	-0.017693540081381798	23.45	2026-06-30	0.7125		0	0	3.9156	24.23
NASDAQ:CSWC	-0.019272776320576668	25.06	2026-09-15	0.58025		0	0	1.3493	25.30
NASDAQ:DMLP	-0.021370863541960716	29.02	2026-08-03	0.7985	Withholding Tax: 10%	0	0	1.1599	
NYSE:CHT	-0.024960631504654884	43.92	2026-07-09	1.3	ADR	59.596227763953415	87.59853123712232	13.2435	48.08
NASDAQ:CMCSA	-0.025390969589352608	26.80	2026-10-07	0.33		99.4190612385215	168.66725539165637	3.1646	30.08
NASDAQ:OCFC	-0.032465025782585144	19.14	2026-08-10	0.2		0	0	0.5270	22.08
NYSE:AB	-0.03478619083762169	36.42	2026-08-12	0.8675	Withholding Tax: 10%	0	0	3.3576	39.29
NYSE:BBDC	-0.035248152911663055	9.45	2026-09-02	0.26		0	0	0.6569	9.96
NASDAQ:AMSF	-0.0353083461523056	26.01	2026-09-11	0.4		0	0	2.5346	35.67
NYSE:FLO	-0.03760296106338501	6.90	2026-06-12	0.2475		0	0	0.0685	8.80
NYSE:BDN	-0.037756554782390594	3.05	2026-07-08	0.08		-8.436138805080645	1.6852290526781208	-0.8302	3.00
NYSE:TWO	-0.044269777834415436	12.18	2026-07-31	0.34		-13.117809729104803	-13.236642959496207	-0.2062	11.90
NASDAQ:CATY	-0.04520054906606674	62.70	2026-08-28	0.37		0	0	5.2052	65.80
NYSE:IIPR	-0.05136147886514664	57.13	2026-06-30	1.9		0	0	3.4077	63.25
NYSE:TK	-0.05236576125025749	13.32	2026-05-26	0		0	0	3.2790	5.00
