Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NYSE:NLOP	0.779508113861084	12.18				0	0	-2.6472	46.00
NASDAQ:VISN	0.7109842896461487	11.95	2026-08-28	0		0	0	-0.1379	14.67
NYSE:AIV	0.7089510560035706	2.78	2026-06-04	0	GTC: delete	-3.4674474976269245	-1.5949383802436663	3.8511	7.00
NYSE:AD	0.6126618981361389	36.71	2026-06-11	0	GTC: delete	0	0	7.8478	46.34
NYSE:NAT	0.5899661779403687	6.81	2026-06-10	0.155	Buy 1674 at $6.58 ~= $11,015	8.923381486864505	11.49986115469683	0.2565	6.00
NYSE:SITC	0.5645300149917603	3.24	2026-08-03	0	GTC: delete	0	0	2.4623	3.50
NYSE:DD	0.48900967836380005	147.41	2026-08-31	0.7575	Buy 77 at $142.97 ~= $11,009	0	0	-0.6516	169.88
NASDAQ:OXSQ	0.4551357626914978	1.54	2026-08-17	0.105		0	0	-0.3857	1.75
NYSE:KREF	0.4412826597690582	7.97	2026-06-30	0.2125		-63.49766808922062	-60.77675285948959	-2.8765	7.75
NYSE:UAN	0.4404779076576233	123.40	2026-08-10	3.6175	Withholding Tax: 10%	239.49163135745934	320.53916733305925	15.1589	9.50
NASDAQ:XRX	0.416352242231369	3.37	2026-09-30	0.025		-39.561269451186526	9.162988189590449	-7.0480	3.23
NASDAQ:IEP	0.40027037262916565	7.71	2026-08-17	0.5	Withholding Tax: 10%	0	0	-0.2279	12.00
NYSE:PINE	0.39699095487594604	20.57	2026-09-10	0.2925		0.13110429548107783	13.093276351664564	0.3037	21.73
NYSE:SAR	0.36478331685066223	20.55	2026-09-03	0.75		87.46937365700875	2954.723659015529	1.0420	21.20
NYSE:ELME	0.36350351572036743	1.68				0	0	-1.7349	18.00
NYSE:FRO	0.3626624047756195	40.90	2026-06-12	0.7825		41.14996777087786	63.51674175418176	4.0648	44.25
NYSE:BRSP	0.3375012278556824	5.25	2026-06-30	0.16		-8.609394973691327	-5.993073614826777	-0.2123	6.38
NYSE:NTST	0.31600692868232727	21.20	2026-09-01	0.2175		16.746217221880027	29.51277081802788	0.1370	23.18
NYSE:BDN	0.3009399175643921	3.29	2026-07-08	0.08		-8.272740649960612	1.7983476953992001	-0.8302	3.00
NYSE:ARR	0.29237857460975647	17.10	2026-08-17	0.72		-60.264535072566034	-59.84037725936612	3.0443	18.38
NASDAQ:SEVN	0.28779229521751404	7.83	2026-07-20	0.28		-2.4520306080002983	-3.1229796649297157	0.5183	9.55
NYSE:FLO	0.2872343361377716	7.62	2026-06-12	0.2475		9.223894536000966	18.198339561729995	0.3438	8.80
NYSE:BXMT	0.27875712513923645	14.58	2026-06-30	0.47		-56.831082387613485	-57.71168780243614	0.0916	18.86
NYSE:TEO	0.2755865156650543	14.94			ADR	53.395194271374905	195.5513030356024	1.9857	15.48
NYSE:BXP	0.27425268292427063	71.04	2026-06-30	0.7		0	0	1.8596	74.30
NASDAQ:REFI	0.2707028090953827	10.66	2026-06-30	0.47		12.511880899087307	30.960694718979425	1.2136	16.38
NASDAQ:PSEC	0.2652357816696167	2.38	2026-08-27	0.135		3.7746305130254636	4.209006354165158	-0.0754	2.00
NYSE:LDI	0.26428866386413574	0.97				0	0	-0.2799	1.25
NYSE:TWO	0.25457993149757385	12.37	2026-07-31	0.34		-13.263769268185161	-13.382229680211347	-0.2062	11.90
NASDAQ:FIBK	0.24514055252075195	38.41	2026-08-04	0.47		0	0	3.4028	37.75
NYSE:FLNG	0.24249498546123505	31.61	2026-05-29	0.75		15.794819986676496	29.61962834483507	1.3976	25.88
NYSE:GNL	0.24033543467521667	9.54	2026-07-13	0.19		0	0	-0.0807	10.17
NASDAQ:SIGA	0.23345358669757843	3.16				0	0	-0.2122	17.53
NYSE:NWG	0.22907862067222595	19.65	2026-08-14	0.0875	ADR	0	0	1.4385	21.54
NYSE:DHT	0.22751130163669586	19.27	2026-05-21	0.6125		0	0	1.7101	20.20
NYSE:BWMX	0.22625447809696198	17.05	2026-08-06	2.69		42.017686900228625	48.45438756202643	1.7140	29.65
NASDAQ:ARCC	0.2165556699037552	20.43	2026-09-15	0.48		19.386394904835516	20.58839996654547	1.3370	20.62
NYSE:AMBP	0.20983083546161652	5.14	2026-09-10	0.1		8.38377196762959	16.159445886687735	0.0686	5.15
NASDAQ:TCPC	0.201059490442276	4.14	2026-06-16	0		0	0	-1.3137	4.17
NYSE:CHCT	0.19891947507858276	16.15	2026-08-19	0.44075		0	0	0.6497	18.25
NYSE:TK	0.19617584347724915	11.74	2026-05-26	0		0	0	3.3046	5.00
NYSE:EARN	0.1953095942735672	4.47	2026-07-31	0.24		0	0	-1.3058	5.00
NASDAQ:DMLP	0.19128823280334473	27.26	2026-08-03	0	Withholding Tax: 10%	0	0	1.1800	
NYSE:FSK	0.1907743364572525	12.57	2026-09-16	0.64		0	0	-1.2340	11.50
NYSE:ORI	0.1904393881559372	43.94	2026-06-05	0.3025		0	0	4.7185	43.50
NASDAQ:TFSL	0.1862083375453949	17.98	2026-06-10	0.2825		0	0	0.3639	19.00
NYSE:CIM	0.18020576238632202	12.13	2026-06-30	0.41		0	0	-0.1930	14.50
NYSE:HR	0.17985542118549347	20.34	2026-08-11	0.24		13.701046943671669	29.264932603950996	-0.2536	21.58
NYSE:WIT	0.17960476875305176	2.05	2026-07-27	2	ADR	168.34815280779202	214.45130685942735	3.5184	1.75
NYSE:PMT	0.17240576446056366	9.77	2026-07-09	0.4		0	0	1.9068	11.61
NYSE:TU	0.1708456426858902	9.88	2026-09-10	0.418		0.4336251652792439	10.803395387344	0.4265	11.67
NYSE:MSDL	0.16995365917682648	15.65	2026-06-30	0.4875		0	0	0.6161	15.68
NASDAQ:CFFN	0.16644386947155	9.07	2026-08-07	0.085		0	0	0.6714	9.50
NYSE:BP	0.15636715292930603	43.86	2026-08-14	0.084	ADR	0	0	0.6114	47.60
NYSE:WFG	0.1561650037765503	73.66	2026-06-25	0.32		139.77394631839093	255.14420832420515	-15.2518	84.83
NASDAQ:SPOK	0.15413311123847961	11.83	2026-08-19	0.3125		20.654839678837096	22.40340557221416	0.7909	14.00
NYSE:BAP	0.15116247534751892	400.20	2026-05-18	12.5		340.8646018321189	266.0093432180066	40.0433	404.56
NASDAQ:CCAP	0.14518150687217712	11.94	2026-08-31	0.42		0	0	0.0021	13.57
NYSE:HTGC	0.1448519080877304	17.67	2026-08-11	0.4		50.12145165978284	52.65918734322401	1.3518	19.17
NYSE:MPT	0.13379226624965668	4.62	2026-06-18	0.085		0	0	-0.0461	5.71
NYSE:BRSL	0.12873484194278717	11.45	2026-08-18	0.22		0	0	1.1705	16.02
NASDAQ:TASK	0.12603235244750977	7.36				0	0	2.3302	8.33
NYSE:ACCO	0.12059611827135086	4.46	2026-08-21	0.075		11.284788270942961	21.41030897240585	0.6370	8.00
NASDAQ:MIDD	0.11986822634935379	136.87				155.23968543294552	184.9641598553319	-9.2925	168.00
NYSE:APAM	0.11709287017583847	43.46	2026-08-17	0.865		0	0	4.2331	38.25
NASDAQ:ADAM	0.11574749648571014	9.99	2026-06-23	0.24		-107.07488230215482	-103.99605217835213	2.1181	11.96
NASDAQ:MFIC	0.11527029424905777	9.88	2026-09-08	0.38		0	0	-0.1475	11.06
NYSE:PFLT	0.11396234482526779	7.62	2026-08-14	0.3075		0	0	0.4301	10.08
NYSE:DX	0.1131414994597435	13.14	2026-07-23	0.51		0	0	1.7576	14.75
NYSE:TEN	0.11307074874639511	40.07	2026-07-23	0		90.98429255423517	102.37865958122293	7.0378	46.00
NYSE:OLP	0.11139421910047531	24.83	2026-06-25	0.45		0	0	0.7337	26.50
NYSE:BNL	0.11063706874847412	21.27	2026-09-30	0.29125		0	0	0.5430	23.40
NYSE:EBF	0.1092648059129715	22.76	2026-07-10	0.25		51.47012439535667	58.01302819740409	1.6881	24.00
NYSE:MPLX	0.1076219379901886	60.13	2026-08-07	0.53825	Withholding Tax: 10%	0	0	3.6001	61.46
NASDAQ:TRIN	0.10745903104543686	18.75	2026-08-14	0.51		0	0	1.2530	18.50
NYSE:OHI	0.10599986463785172	49.61	2026-08-03	0.6725		76.6694278555319	94.56378102346468	2.8695	52.00
NYSE:MFA	0.10206538438796997	9.34	2026-06-30	0.36	GTC: $18.66	0	0	1.0035	14.00
NYSE:BLX	0.09928279370069504	58.22	2026-08-07	0.672		0	0	7.7799	64.65
NYSE:MDV	0.09915588051080704	18.69	2026-08-03	0.2945		0	0	0.2106	18.67
NYSE:BBDC	0.0935935378074646	9.57	2026-09-02	0.21		0	0	0.6569	9.62
NYSE:LEVI	0.09250371158123016	24.86	2026-07-22	0.14		130.2015843683252	166.84121854350312	6.3630	28.27
NYSE:EPR	0.09209585934877396	62.87	2026-07-31	0.9		63.04651938935612	92.88656560913478	3.4365	63.35
NYSE:SHEL	0.08394195884466171	91.98	2026-08-14	0.37775	ADR	237.02188434497907	318.7323885045306	9.3952	98.03
NASDAQ:FHB	0.0835079550743103	27.99	2026-08-17	0.26		0	0	2.3416	30.78
NYSE:PEB	0.08125405013561249	18.60	2026-06-30	0.01		29.514146119391956	53.44807950431701	-0.4390	18.62
NYSE:TDS	0.08100622892379761	34.32	2026-06-16	0.04		0	0	1.1307	50.50
NASDAQ:CVBF	0.07861978560686111	23.10	2026-07-09	0.2		0	0	1.1739	25.83
