Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NASDAQ:FIBK	0.10466685891151428	39.02	2026-08-04	0.47		0	0	3.4028	37.75
NYSE:BWLP	0.09971857815980911	22.11	2026-06-12	0.465		74.66195038031026	100.87447579295541	2.3878	
NYSE:BAP	0.0953838899731636	406.39	2026-05-18	12.5		353.740038124227	277.82663267058587	40.0433	404.50
NYSE:INSW	0.09387804567813873	95.35	2026-06-12	0.12		133.54082886449746	165.08791343228648	11.0260	98.67
NASDAQ:DMLP	0.08820939809083939	26.44	2026-08-03	0.63525	Withholding Tax: 10%	47.568864500778574	62.70387009362842	1.4267	
NYSE:WFG	0.08782760798931122	71.08	2026-06-25	0.32		138.60097288880297	255.16133018514225	-15.2518	84.83
NYSE:CHCT	0.08273274451494217	16.32	2026-08-19	0.47375		0	0	0.6497	19.25
NYSE:OLP	0.08169674873352051	24.72	2026-06-25	0		0	0	0.7338	26.50
NYSE:EARN	0.08087588101625443	4.45	2026-07-31	0.24		0	0	-1.3058	5.00
NASDAQ:FMNB	0.07869980484247208	16.34	2026-06-12	0.17		0	0	1.0067	17.00
NYSE:TU	0.07720310986042023	10.21	2026-09-10	0.418		0.5868752187934907	10.999250662035786	0.4265	11.67
NYSE:PNNT	0.07251471281051636	3.75	2026-08-14	0.24	GTC: $7.50	-12282.106401952582	-12274.195457246135	0.2115	4.75
NYSE:SHEL	0.07236256450414658	91.42	2026-08-14	0.37775	ADR	239.34341730368521	321.4347181110217	9.3897	98.03
NASDAQ:CFFN	0.07218806445598602	9.33	2026-08-07	0.085		0	0	0.6714	9.50
NASDAQ:CCAP	0.0651891827583313	11.80	2026-08-31	0.42		30.355826773508813	32.66471414750215	0.4096	13.57
NYSE:ORI	0.06253925710916519	44.73	2026-06-05	0.3025		0	0	4.7185	43.50
NASDAQ:TCPC	0.059610262513160706	3.97	2026-06-16	0.23		0	0	-1.3137	4.17
NYSE:GSBD	0.0526869110763073	9.31	2026-06-30	0.32		0	0	0.3091	8.75
NYSE:ORC	0.051704443991184235	6.59	2026-07-31	0.345		0	0	1.2193	7.50
NYSE:EBF	0.04540805518627167	22.92	2026-07-10	0.25		51.55326282621652	58.13182183819058	1.6881	24.00
NASDAQ:ARCC	0.04440731927752495	20.02	2026-09-15	0.48		19.16284955621241	20.374681882083298	1.3370	20.69
NASDAQ:HOPE	0.04392349720001221	14.43	2026-08-06	0.14		0	0	1.0011	15.50
NYSE:TSLX	0.04308359697461128	19.11	2026-09-15	0.5125		0	0	0.5108	19.70
NYSE:PMT	0.04223502799868584	9.64	2026-07-09	0.4		0	0	1.9068	11.61
NASDAQ:FHB	0.04115559533238411	28.60	2026-08-17	0.26		0	0	2.3417	30.67
NYSE:MPT	0.03938617184758186	4.79	2026-06-18	0.085		-5.280860894778999	-3.8244803059332035	-0.2110	5.71
NYSE:TEN	0.03917224705219269	40.11	2026-07-23	0		91.58209666708595	102.98507588812785	7.0378	46.00
NYSE:F	0.036752328276634216	14.39	2026-08-11	0.15		-19.795774354160198	0.8152120821965639	-1.8883	15.78
NYSE:BSM	0.036529239267110825	14.60	2026-08-06	0.305	Withholding Tax: 10%	0	0	0.8332	16.00
NYSE:MNR	0.03562184423208237	13.68	2026-05-21	0.455	Withholding Tax: 10%	0	0	0.8716	18.00
NYSE:WU	0.035472337156534195	7.35	2026-09-16	0.235		0	0	1.0219	7.16
NYSE:HTGC	0.03421368822455406	17.46	2026-08-11	0.4		50.246049895289474	52.8008093314529	1.3518	19.17
