Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:PBI	1.000	9.46	21 Feb 2025	0.05		26.67	38.16
NASDAQ:IGIC	0.988	27.59	4 Apr 2025	0		1.10	1.10
NYSE:SPXC	0.988	141.18				208.67	227.57
NASDAQ:LECO	0.975	195.48	31 Mar 2025	0.72		234.73	263.48
NYSE:SEM	0.974	18.01	3 Mar 2025	0.1095		8.06	22.88
NYSE:HEI	0.963	270.50				411.15	468.27
NASDAQ:FMNB	0.958	13.61	14 Mar 2025	0.17		-101.39	-99.52
NYSE:LPX	0.949	91.83	27 Feb 2025	0.26		109.72	128.66
NASDAQ:KLAC	0.942	703.61	24 Feb 2025	1.5125		823.15	858.25
NYSE:VSCO	0.941	17.25				223.04	257.18
NYSE:BBW	0.936	39.04	27 Mar 2025	0.2		0.00	0.00
NYSE:LU	0.936	2.70			ADR	-5.20	-4.96
NYSE:GES	0.932	10.15	16 Apr 2025	0.3		88.77	101.61
NASDAQ:UVSP	0.925	28.98	5 Feb 2025	0.21		-175.56	-175.06
NASDAQ:FITB	0.918	37.47	31 Mar 2025	0.365		-183.46	-176.43
NYSE:HEI.A	0.915	214.47				306.07	343.53
NYSE:FBK	0.914	43.36	11 Feb 2025	0.175		0.00	0.00
NASDAQ:WASH	0.911	29.10	1 Apr 2025	0.56		-250.90	-247.68
NASDAQ:NVMI	0.910	191.62				299.87	310.08
NASDAQ:MOFG	0.908	28.94	3 Mar 2025	0.2425		-171.24	-171.26
