Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:NU	1.000	16.04			Buy 900 at $10.69 ~= $9,621	$75.79	$76.08
NYSE:BBD	1.000	3.06	7 Mar 2025	0	Buy 4087 at $2.04 ~= $8,337; ADR	$0.00	$0.00
NYSE:ITUB	1.000	8.50	2 Apr 2025	0	ADR	$0.00	$0.00
NYSE:VALE	1.000	14.21	10 Mar 2025	0.345	GTC: delete; ADR	$5.04	$11.07
NYSE:ABEV	1.000	3.38			ADR	$48.28	$56.35
NYSE:PBR	1.000	19.37	27 Dec 2024	1.4325	ADR	$0.00	$0.00
NYSE:GGB	1.000	4.40	7 Mar 2025	0.2	ADR	$0.00	$0.00
NASDAQ:XP	1.000	23.21			GTC: delete	-$185.48	-$176.91
NYSE:PBR.A	1.000	17.88	27 Dec 2024	1.4325	ADR	$0.00	$0.00
NYSE:CIG	1.000	2.88	30 Dec 2024	0.273	ADR	$4.74	$10.93
NYSE:SID	1.000	2.31			ADR	$0.00	$0.00
NYSE:EBR	1.000	10.17	30 Dec 2024	0.45575	ADR	$5.36	$11.72
NYSE:SUZ	1.000	14.43	18 Dec 2024	0	ADR	$0.00	$0.00
NYSE:ERJ	1.000	77.59			ADR	$48.96	$53.92
NASDAQ:INTR	1.000	8.16	14 Feb 2025	0		$0.00	$0.00
NYSE:SEM	1.000	27.00	3 Mar 2025	0.1095		$0.00	$0.00
NYSE:BRFS	1.000	4.98	18 Dec 2024	0.1455	GTC: delete; ADR	$0.00	$0.00
NYSE:AZUL	1.000	2.82			ADR	-$40.64	$13.45
NYSE:SBS	1.000	25.17			ADR	$34.82	$46.29
NYSE:CSAN	1.000	7.68			ADR	-$7.09	$9.03
NASDAQ:SGML	1.000	17.57				$26.42	$28.08
NYSE:VIV	1.000	12.83	27 Feb 2025	0.40275	ADR	$17.74	$43.86
